,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
375,Presidencia Roque Saenz Pena,56,AR,1577993559,36,-26.79,-60.44,89.38,8.01
376,Burnie,7,AU,1577993559,76,-41.05,145.91,51.01,11.01
377,Havre-Saint-Pierre,90,CA,1577993559,73,50.23,-63.6,26.6,14.99
378,Ajdabiya,17,LY,1577993559,67,30.75,20.22,51.44,9.71
379,Port-Gentil,40,GA,1577993559,88,-0.72,8.78,82.4,4.7
380,Namibe,100,AO,1577993559,82,-15.19,12.15,73.11,9.35
381,Zyryanskoye,100,RU,1577993560,87,56.83,86.62,29.12,15.12
382,Uige,100,AO,1577993560,94,-7.61,15.06,69.82,2.46
383,Rio Grande,40,BR,1577993522,51,-32.03,-52.1,84.2,12.75
384,Bhandaria,56,BD,1577993560,73,22.49,90.06,64.54,5.21
385,Sept-Iles,20,CA,1577993396,58,50.2,-66.38,27.0,16.11
386,Musoma,20,TZ,1577993560,78,-1.5,33.81,73.4,1.77
387,Hope,90,US,1577993560,98,33.67,-93.59,55.99,4.7
388,Nuuk,75,GL,1577993560,68,64.17,-51.74,24.8,8.05
389,Praya,75,ID,1577993560,100,-8.71,116.27,77.0,5.1
390,Beloha,58,MG,1577993560,82,-25.17,45.06,73.89,12.01
391,Ginir,0,ET,1577993560,84,7.14,40.71,59.29,5.37
392,Pital,91,CO,1577993560,92,2.27,-75.81,65.23,2.42
393,Filadelfia,0,PY,1577993560,23,-22.35,-60.04,97.11,15.1
394,The Valley,20,AI,1577993560,74,18.22,-63.06,84.0,9.17
395,Svetlaya,100,RU,1577993560,65,46.54,138.33,11.62,12.03
396,Banff,1,CA,1577993421,80,51.18,-115.57,25.0,4.0
397,Paramonga,67,PE,1577993561,88,-10.68,-77.82,69.19,10.98
398,Manadhoo,48,MV,1577993561,79,5.77,73.38,82.08,13.67
399,Farim,100,GW,1577993561,44,12.48,-15.22,80.6,2.24
400,Videira,10,BR,1577993561,79,-27.01,-51.15,72.3,5.82
401,Huarmey,79,PE,1577993561,54,-10.07,-78.15,78.42,10.74
402,Sena Madureira,65,BR,1577993561,97,-9.07,-68.66,76.77,2.91
403,Pitimbu,20,BR,1577993265,66,-7.47,-34.81,84.2,10.29
404,Bitam,100,GA,1577993561,93,2.08,11.49,71.38,3.8
405,Kudahuvadhoo,97,MV,1577993561,77,2.67,72.89,82.2,8.97
406,Chunskiy,100,RU,1577993561,96,56.08,99.63,24.66,5.14
407,Mehamn,75,NO,1577993561,86,71.03,27.85,28.4,17.22
408,Tautira,75,PF,1577993561,66,-17.73,-149.15,86.0,13.87
409,Montepuez,100,MZ,1577993561,95,-13.13,39.0,73.36,2.06
410,Oneonta,57,US,1577993369,55,42.45,-75.06,46.0,4.0
411,Akureyri,60,IS,1577993561,92,65.68,-18.09,14.0,6.93
412,North Chicago,1,US,1577993476,61,42.33,-87.84,50.0,18.34
413,Samarkand,75,UZ,1577993562,100,39.65,66.98,39.2,6.93
414,Maltahohe,100,NA,1577993562,15,-24.83,16.98,81.16,15.48
415,Tessalit,0,ML,1577993562,27,20.2,1.01,53.82,14.0
416,Farafangana,0,MG,1577993562,77,-22.82,47.83,80.46,10.87
417,Mumbwa,96,ZM,1577993562,94,-14.99,27.06,67.24,2.37
418,Port Lincoln,80,AU,1577993562,23,-34.72,135.86,77.7,15.84
419,Kumylzhenskaya,100,RU,1577993562,84,49.88,42.59,30.0,4.0
420,Santo Antonio do Ica,94,BR,1577993562,60,-3.1,-67.94,88.16,2.75
421,Ola,69,RU,1577993562,83,59.58,151.3,21.54,50.04
422,Glasgow,99,GB,1577993424,93,55.86,-4.24,52.0,24.16
423,Rodnykove,100,UA,1577993562,74,47.68,37.95,30.96,8.39
424,Vestmanna,100,FO,1577993562,64,62.16,-7.17,37.4,28.86
425,Moi,100,NO,1577993562,89,58.46,6.55,46.0,15.99
426,Khilok,98,RU,1577993563,91,51.36,110.46,0.82,3.36
427,Santa Luzia,75,BR,1577993563,88,-19.77,-43.85,73.4,10.29
428,Te Anau,33,NZ,1577993563,64,-45.41,167.72,48.04,8.79
429,Natal,75,BR,1577993563,62,-5.81,-35.21,86.0,16.11
430,Jalingo,0,NG,1577993563,17,10.3,10.93,60.73,10.42
431,Ormara,100,PK,1577993563,52,25.21,64.64,69.87,9.08
432,Avera,90,US,1577993563,93,33.19,-82.53,53.6,3.36
433,Visnes,75,NO,1577993563,87,59.36,5.22,46.4,20.8
434,Kafue,100,ZM,1577993563,69,-15.74,28.18,75.2,3.36
435,Dhidhdhoo,14,MV,1577993563,74,6.88,73.1,82.45,10.54
436,Whitewater,1,US,1577993472,70,42.83,-88.73,46.4,10.29
437,Betong,66,MY,1577993563,98,5.77,101.07,68.11,3.09
438,Mogadishu,9,SO,1577993305,82,2.04,45.34,81.54,23.6
439,Ortona,0,IT,1577993563,86,42.35,14.4,46.0,6.93
440,Pahrump,1,US,1577993563,32,36.21,-115.98,57.0,10.29
441,Shaki,75,AM,1577993563,74,39.56,46.0,33.8,4.7
442,Valparaiso,75,US,1577993564,66,41.47,-87.06,48.99,16.11
443,Malacacheta,100,BR,1577993564,80,-17.84,-42.08,78.26,1.57
444,Ciudad Bolivar,10,VE,1577993564,38,8.12,-63.55,88.02,10.74
445,Bria,100,CF,1577993564,30,6.54,21.99,75.63,5.84
446,Winnipeg,75,CA,1577993375,85,49.88,-97.17,21.99,17.22
447,Bay Roberts,90,CA,1577993564,86,47.58,-53.28,34.0,17.22
448,Del Rio,1,US,1577993564,59,29.36,-100.9,62.6,12.88
449,Mount Gambier,86,AU,1577993564,93,-37.83,140.78,51.8,5.82
450,Kandrian,12,PG,1577993564,90,-6.21,149.55,76.73,2.91
451,Sayyan,75,YE,1577993564,56,15.17,44.32,60.82,3.15
452,Bayji,0,IQ,1577993564,61,34.93,43.49,50.61,3.83
453,Kieta,25,PG,1577993564,79,-6.22,155.63,81.32,4.72
454,Opuwo,100,NA,1577993564,64,-18.06,13.84,75.38,10.38
455,San Isidro,75,CR,1577993564,54,10.02,-84.06,80.6,11.41
456,Viedma,13,AR,1577993564,30,-40.81,-62.99,85.46,20.87
457,Ciuperceni,0,RO,1577993564,65,44.94,23.01,31.77,1.03
458,Mosquera,40,CO,1577993565,52,4.71,-74.23,69.8,17.22
459,Comodoro Rivadavia,0,AR,1577993565,14,-45.87,-67.48,95.0,19.46
460,Kijang,0,KR,1577993565,70,35.24,129.21,32.0,9.17
461,Korgen,75,NO,1577993565,87,66.08,13.83,46.4,12.75
462,Klaksvik,100,FO,1577993565,64,62.23,-6.59,37.4,28.86
463,Kamaishi,0,JP,1577993565,73,39.28,141.86,27.99,5.01
464,Labytnangi,0,RU,1577993565,89,66.66,66.39,-2.34,8.19
465,Kjollefjord,75,NO,1577993565,86,70.95,27.35,28.4,17.22
466,Cividale del Friuli,0,IT,1577993565,66,46.09,13.43,45.0,2.24
467,Dothan,90,US,1577993565,64,31.22,-85.39,73.99,16.11
468,Notodden,20,NO,1577993330,80,59.56,9.26,44.01,6.93
469,Svetlogorsk,75,RU,1577993565,85,53.14,59.15,23.0,4.47
470,Qesarya,20,IL,1577993565,76,32.52,34.9,55.4,6.93
471,Qasigiannguit,75,GL,1577993565,78,68.82,-51.19,8.6,20.8
472,Lamar,1,US,1577993565,39,38.09,-102.62,48.2,11.41
473,Yerbogachen,100,RU,1577993565,95,61.28,108.01,9.45,5.68
474,Tirumullaivasal,66,IN,1577993566,82,11.24,79.84,80.01,8.1
475,Carupano,0,VE,1577993566,65,10.67,-63.26,81.36,3.98
476,Tieli,100,CN,1577993566,99,46.98,128.05,-12.1,5.55
477,Iqaluit,90,CA,1577993566,85,63.75,-68.52,10.4,3.36
478,Tarakan,100,ID,1577993566,91,3.3,117.63,75.87,4.09
479,Coahuayana,3,MX,1577993566,32,18.62,-100.35,89.29,3.69
480,Yeppoon,1,AU,1577993566,83,-23.13,150.74,75.2,8.05
481,Kichera,100,RU,1577993566,97,55.93,110.1,4.57,1.45
482,Yar-Sale,0,RU,1577993566,96,66.83,70.83,-5.85,10.49
483,Illapel,0,CL,1577993566,33,-31.63,-71.17,72.54,10.47
484,Obihiro,3,JP,1577993566,78,42.92,143.2,17.51,5.77
485,Izumo,75,JP,1577993566,70,35.37,132.75,48.2,11.41
486,Sibolga,100,ID,1577993566,93,1.74,98.78,72.18,2.24
487,Diamantina,100,BR,1577993461,90,-18.24,-43.6,71.17,2.28
488,Barreiras,100,BR,1577993566,98,-12.14,-45.0,70.63,1.34
489,Oksfjord,75,NO,1577993566,70,70.24,22.35,42.8,24.16
490,Taoudenni,100,ML,1577993566,23,22.68,-3.98,57.43,11.83
491,Manuk Mangkaw,66,PH,1577993567,77,4.8,119.85,81.41,13.6
492,Port Macquarie,40,AU,1577993567,88,-31.43,152.91,68.0,10.13
493,Chickasha,1,US,1577993433,50,35.05,-97.94,59.0,4.7
494,Flinders,95,AU,1577993567,88,-34.58,150.85,70.0,5.35
495,Barbacena,75,BR,1577993567,88,-21.23,-43.77,69.8,5.82
496,Balikpapan,100,ID,1577993567,94,-1.24,116.86,74.32,2.51
497,Ugoofaaru,100,MV,1577993567,78,5.67,73.0,82.22,14.38
498,Progreso,20,UY,1577993567,69,-34.68,-56.22,75.99,17.22
499,Portland,40,US,1577993009,59,43.66,-70.25,39.99,8.05
500,Grindavik,75,IS,1577993567,62,63.84,-22.43,24.8,24.16
501,Nacala,100,MZ,1577993567,91,-14.56,40.69,72.52,8.16
502,Nautla,97,MX,1577993567,64,20.22,-96.78,80.78,4.99
503,Solnechnyy,98,RU,1577993567,91,50.72,136.64,-8.12,3.13
504,Tadine,0,NC,1577993567,62,-21.55,167.88,78.08,10.02
505,Voh,88,NC,1577993567,70,-20.95,164.69,76.14,5.91
506,Kamyshla,0,RU,1577993568,95,54.11,52.14,3.09,6.29
507,Livingston,90,US,1577993370,94,32.58,-88.19,68.0,5.82
508,Port Hawkesbury,75,CA,1577993568,69,45.62,-61.36,35.01,23.04
509,Corinth,75,GR,1577993568,49,37.94,22.93,48.99,19.01
510,Kindu,100,CD,1577993568,97,-2.95,25.92,70.92,1.83
511,Bao,0,BF,1577993568,19,13.0,-3.22,65.46,10.2
512,Rincon,40,PA,1577993568,66,8.46,-82.28,86.0,8.05
513,Calvinia,0,ZA,1577993568,73,-31.47,19.78,62.2,3.8
514,Carmo do Paranaiba,98,BR,1577993568,67,-19.0,-46.32,81.0,4.36
515,Deniliquin,0,AU,1577993568,36,-35.53,144.96,71.1,7.67
516,Hisor,90,TJ,1577993568,87,38.53,68.55,42.8,6.71
517,Lodja,100,CD,1577993568,97,-3.52,23.6,69.42,0.76
518,Victoria,75,BN,1577993568,83,5.28,115.24,80.6,3.36
519,Bainbridge,1,US,1577993568,38,30.9,-84.58,75.2,14.99
520,Mayumba,100,GA,1577993569,84,-3.44,10.65,81.9,3.24
521,Aksu,98,KZ,1577993569,79,52.04,76.93,24.8,8.95
522,Pacifica,75,US,1577993569,81,37.61,-122.49,60.01,4.7
523,Nampula,75,MZ,1577993569,94,-15.12,39.26,75.2,6.93
524,Hastings,3,NZ,1577993569,66,-39.64,176.84,68.25,1.36
525,Tucdao,100,PH,1577993569,90,11.7,124.47,74.21,8.41
526,Dunedin,45,NZ,1577993549,60,-45.87,170.5,55.0,24.0
527,Iwanai,100,JP,1577993569,67,42.97,140.51,25.7,14.81
528,Usinsk,100,RU,1577993569,93,66.0,57.56,2.46,21.07
529,Alihe,0,CN,1577993569,87,50.57,123.73,-11.69,4.5
530,Ambovombe,17,MG,1577993569,86,-25.18,46.09,73.49,9.4
